Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s9fa4cc9,-0.20173342998966823,0.13761505816262604,267.0,289,0.9238754325259516
sa0099252,-0.2935143687105301,0.12792129660678614,350.0,471,0.7430997876857749
sa0aa7c40,-0.20319339199471834,0.1489881452928661,33.0,61,0.5409836065573771
sa0d6bbd4,-0.21180799350701904,0.13029366582068594,89.0,122,0.7295081967213115
sa105a675,-0.26074746605113264,0.13914927922623718,112.0,167,0.6706586826347305
sa138e02e,1.05733104337508,0.3749419747602986,164.0,224,0.7321428571428571
sa16373aa,-0.04608152430724384,0.1867104484141724,141.0,243,0.5802469135802469
sa1b80ac2,1.145519884434931,0.4373841181164481,258.0,531,0.4858757062146893
sa364cddd,-0.36370861240798247,0.11545438403664711,191.0,219,0.8721461187214612
sa3748858,-0.35607017883129777,0.11951697924536794,243.0,273,0.8901098901098901
sa4660048,-0.3964515235872875,0.09096029714326002,291.0,299,0.9732441471571907
sa4701ec6,-0.6429400796596405,0.05095426132548171,52.0,74,0.7027027027027027
sa48dc901,-0.45425681320865774,0.08185686414987822,35.0,72,0.4861111111111111
sa5b42f1b,0.002918260136150652,0.18168736222005896,216.0,269,0.8029739776951673
